Atmid,Claim Registration Date,Date of Incidence,Issue,Location,Policy No,Security,State,Type of claim,Asset Loss,Cash Loss,Claim No.,Total Loss
CJP89958,10/17/2015,10/8/2015,Vandalism,Hanumangarh Junction ,DEF0001583,Guarded,Rajasthan,Attempted Theft,105570,0,767752,105570
DEEK999999997119999,10/20/2015,10/14/2015,Vandalism,SBI NR CIRCUIT HOUSE,DEF0001582,Non Guarded,Assam,Attempted Theft,19480,0,768777,19480
NHYD1241,10/20/2015,10/8/2015,Vandalism,"Mettaguda, Secunderabad",DEF0001582,Non Guarded,Secunderabad,Attempted Theft,14140,0,768759,14140
DZEP5999912999993,10/20/2015,10/17/2015,Vandalism,VPO Roorkee Sirhind,DEF0001582,Non Guarded,Punjab,Attempted Theft,48910,0,768758,48910
IPSEN998399991,10/25/2015,10/19/2015,Vandalism,Opp. Punjabi University,DEF0001582,Non Guarded,Punjab,Attempted Theft,40710,0,768894,40710
DZEK999999181136,10/25/2015,10/17/2015,Vandalism,QUALAPTTY,DEF0001582,Non Guarded,Meghalaya,Attempted Theft,18040,0,768892,18040
DZEK9999991819992,10/25/2015,10/17/2015,Vandalism,MAWLAI,DEF0001582,Non Guarded,Meghalaya,Attempted Theft,29800,0,768897,29800
DZEK99999999829917,10/30/2015,10/22/2015,Vandalism,MOILAPATHAR BAZAR,DEF0001582,Non Guarded,Goa,Attempted Theft,10920,0,775582,10920
DZEK9999323299299,11/1/2015,10/23/2015,Vandalism,BARAPANI SPUNPIPE MARKET NAHARLAGUN,DEF0001582,Non Guarded,Telangana,Attempted Theft,18980,0,775988,18980
DZEK999932329917,11/1/2015,10/23/2015,Vandalism,B-SECTOR NAHARLAGUN LUMAR DAI ROAD,DEF0001582,Non Guarded,Punjab,Attempted Theft,18980,0,775925,18980
IXXRZN131991N99,11/1/2015,10/28/2015,Vandalism,NAHARLAGUN INDIAN BANK,DEF0001582,Non Guarded,Arunachal Pradesh,Attempted Theft,18980,0,775925,18980
IPSEN99272991,11/1/2015,10/25/2015,Vandalism,"Mlktla Road, Dhuri ",DEF0001582,Non Guarded,Punjab,Attempted Theft,8970,0,775976,8970
DZEP5999962799991,11/4/2015,10/29/2015,Vandalism,"G.T Road, Ferozepur",DEF0001582,Non Guarded,Punjab,Attempted Theft,44390,0,777724,44390
DLUD62991,11/4/2015,10/29/2015,Vandalism,Malwal Road,DEF0001582,Non Guarded,Punjab,Attempted Theft,13480,0,777722,13480
NSRNC9913,11/1/2015,10/14/2015,Natural Calamity,I.G Airport Road,DEF0001583,Guarded,Punjab,Act of God,107720,0,772577,107720
OROZ148U,11/11/2015,10/2/2015,Natural Calamity,Nuapada ,DEF0001582,Non Guarded,Odisha,Act of God,28720,0,772574,28720
DEEK9999991199911,11/11/2015,11/9/2015,Vandalism,KOKRAJHER-TOWN-NEAR-ASTC-BUS-STAN-BTAD,DEF0001582,Non Guarded,Assam,Attempted Theft,14810,0,774287,14810
DZEK9999699919936,11/11/2015,11/4/2015,Vandalism,MOWB-2 PURBANCHAL SCHOOL ITANAGAR,DEF0001582,Non Guarded,Arunachal Pradesh,Attempted Theft,18980,0,774292,18980
DZEK999932329914,11/11/2015,11/9/2015,Vandalism,PAPUNALLA NLG,DEF0001582,Non Guarded,Punjab,Attempted Theft,18980,0,774259,18980
DZEK999961829911,11/11/2015,10/30/2015,Vandalism,UPPER LAMKA,DEF0001582,Non Guarded,Manipur,Attempted Theft,37700,0,774297,37700
DEEK99999999699932,11/11/2015,11/2/2015,Vandalism,GAURIPUR BUS STAND,DEF0001582,Non Guarded,Assam,Attempted Theft,11400,0,774675,11400
143621991,11/11/2015,11/2/2015,Vandalism & Theft,CANARA BANK JAGIROAD,DEF0001582,Non Guarded,Assam,Theft & Cash Loss,97540,7290,774677,104830
M31I2365993,11/11/2015,11/9/2015,Vandalism,Katra Safed,DEF0001582,Non Guarded,Punjab,Attempted Theft,14810,0,774672,14810
IPSEN999961991,11/13/2015,11/10/2015,Vandalism,Bhagta Bhai Bhatinda ,DEF0001582,Non Guarded,Punjab,Attempted Theft,38460,0,772755,38460
DZEO999968979912,11/13/2015,11/1/2015,Vandalism,"Railway Road, Kathua ",DEF0001582,Non Guarded,Jammu & Kashmir,Attempted Theft,41210,0,772726,41210
DZEK99999913999929,11/13/2015,11/10/2015,Vandalism & Theft,DUNI_DARRANG,DEF0001582,Non Guarded,Assam,Theft & Cash Loss,97540,23330,772722,120870
DZEK9999991199914,11/18/2015,11/2/2015,Vandalism,"SANTINAGAR MORE,KOKRAJHAR",DEF0001582,Non Guarded,Assam,Attempted Theft,46930,0,775245,46930
DEEP999947339978,11/18/2015,11/14/2015,Vandalism,Muhlla Janta Nagar,DEF0001582,Non Guarded,Punjab,Attempted Theft,14810,0,775228,14810
DZEK99999913999933,11/19/2015,11/13/2015,Vandalism & Theft,SBI_DHULACHOWK ,DEF0001582,Non Guarded,Assam,Theft & Cash Loss,125210,18513,775725,143723
XXS993671U,11/19/2015,9/22/2015,Natural Calamity,Krishnai,DEF0001582,Non Guarded,Goa,Act of God,82600,0,775727,82600
DZEK9999999971123,11/19/2015,11/13/2015,Vandalism,NATUN NAGAR,DEF0001582,Non Guarded,Jammu & Kashmir,Attempted Theft,57270,0,775745,57270
DZEK9999699919935,11/19/2015,11/2/2015,Vandalism,E-EXTENSION VIP ROAD ITANAGAR,DEF0001582,Non Guarded,Arunachal Pradesh,Attempted Theft,18980,0,775742,18980
XXIN1662K,11/20/2015,9/22/2015,Natural Calamity,BOKO__ALLAHABAD,DEF0001582,Non Guarded,Assam,Act of God,34110,0,776759,34110
DZEK99992992499996,11/21/2015,11/15/2015,Vandalism,PURAN BAZAR - BILASIPARA,DEF0001582,Non Guarded,Assam,Attempted Theft,15610,0,772584,15610
P245829999,11/21/2015,11/19/2015,Vandalism,"Kharar Road, Landran",DEF0001582,Non Guarded,Punjab,Attempted Theft,97530,0,772582,97530
P3991749999,11/21/2015,11/18/2015,Vandalism,G.T Road,DEF0001582,Non Guarded,Punjab,Attempted Theft,85150,0,772586,85150
DZEK99999914699499,11/24/2015,11/19/2015,Vandalism,NAGAON COLLEGE,DEF0001582,Non Guarded,Assam,Attempted Theft,13920,0,776972,13920
DI1115991,11/24/2015,11/20/2015,Vandalism,ABHIYAPURI,DEF0001582,Non Guarded,Assam,Attempted Theft,14810,0,777577,14810
DZEK9999699919925,11/25/2015,11/13/2015,Vandalism,CHANDRAN NAGAR ITANAGAR,DEF0001582,Non Guarded,Arunachal Pradesh,Attempted Theft,18310,0,777744,18310
NGOXX99291,11/25/2015,11/23/2015,Vandalism,ESI Hospital,DEF0001582,Non Guarded,Goa,Attempted Theft,105570,0,777729,105570
XXXXG99931,11/25/2015,11/22/2015,Vandalism,"Arjun Nagar, UP",DEF0001583,Guarded,Uttar Pradesh,Attempted Theft,16150,0,777742,16150
XXID29962XX,11/25/2015,11/24/2015,Vandalism,Bahu Plaza,DEF0001582,Non Guarded,Jammu & Kashmir,Attempted Theft,15350,0,777745,15350
NVIS99491,11/28/2015,11/25/2015,Vandalism,Satyam Junction,DEF0001582,Non Guarded,Andhra Pradesh,Attempted Theft,71850,0,725459,71850
DZEK999999999929968,2/4/2015,11/30/2015,Vandalism,Beltali,DEF0001582,Non Guarded,Tripura,Attempted Theft,34080,0,725742,34080
DZEP9999163499992,2/9/2015,2/9/2015,Vandalism,"Sukhanand, Moga ",DEF0001582,Non Guarded,Punjab,Attempted Theft,45800,0,725827,45800
XXEM999991,2/9/2015,11/27/2015,Vandalism,Jhusi,DEF0001583,Guarded,Uttar Pradesh,Attempted Theft,18360,0,725826,18360
DZEK99999999729944,2/9/2015,11/29/2015,Vandalism & Theft,DUNCAN BOSTI,DEF0001582,Non Guarded,Nagaland,Theft & Cash Loss,102330,20297,725825,122627
NGW89924,2/10/2015,2/1/2015,Vandalism,VISHNUPUR,DEF0001582,Non Guarded,Assam,Attempted Theft,36030,0,257777,36030
DZEK99999913999934,2/10/2015,2/2/2015,Vandalism,CHAPAICHOWK_DARRANG,DEF0001582,Non Guarded,Assam,Attempted Theft,30550,0,257775,30550
DZEK99999913999921,2/10/2015,2/2/2015,Vandalism,KALAIGAON,DEF0001582,Non Guarded,Assam,Attempted Theft,61590,0,257769,61590
DZEK9999119939917,2/10/2015,2/8/2015,Vandalism,Hajo Road-Nalbari,DEF0001582,Non Guarded,Assam,Attempted Theft,39750,0,257768,39750
DZEK99992993599992,2/10/2015,2/1/2015,Vandalism & Theft,BYRNIRHAT,DEF0001582,Non Guarded,Meghalaya,Theft & Cash Loss,102330,13029,257766,115359
DZEK99999999729992,2/10/2015,2/1/2015,Vandalism,KASHIRAM VILLAGE,DEF0001582,Non Guarded,Nagaland,Attempted Theft,37720,0,257765,37720
P1997119999,2/13/2015,2/9/2015,Vandalism,Jaintipur,DEF0001582,Non Guarded,Punjab,Attempted Theft,97540,0,252254,97540
DZEK9999299139912,2/16/2015,2/9/2015,Vandalism & Theft,CHAKCHAKA BAZAR,DEF0001582,Non Guarded,Assam,Theft & Cash Loss,97440,20198,254555,117638
DZEK9999991469938,2/16/2015,2/13/2015,Vandalism & Theft,"DHING GATE,Nagaon",DEF0001582,Non Guarded,Assam,Theft & Cash Loss,97540,20798,254559,118338
DZEP5991299899991,2/18/2015,2/2/2015,Vandalism,"Pholariwal, Jalandhar",DEF0001582,Non Guarded,Punjab,Attempted Theft,40810,0,254625,40810
NSRT99491,2/18/2015,2/13/2015,Vandalism,Dabhoi Char Rasta ,DEF0001582,Non Guarded,Gujarat,Attempted Theft,2870,0,254662,2870
XXS99Z283U,2/18/2015,2/13/2015,Vandalism,"Tingkhong, Assam",DEF0001582,Non Guarded,Assam,Attempted Theft,99960,0,254665,99960
DZEK99999913999942,2/18/2015,2/14/2015,Vandalism,BORICHOWKA_PATHORIGHAT,DEF0001582,Non Guarded,Assam,Attempted Theft,23590,0,254659,23590
DEEK99999999829916,2/18/2015,2/15/2015,Vandalism & Theft,DUBAPARA,DEF0001582,Non Guarded,Goa,Theft & Cash Loss,97540,18615,254656,116155
DEEK99999919949974,2/23/2015,2/18/2015,Vandalism,"Malow Ali, Rajotia",DEF0001582,Non Guarded,Assam,Attempted Theft,31250,0,255755,31250
P175159999,2/23/2015,2/19/2015,Vandalism & Theft,Opposite ITBP,DEF0001582,Non Guarded,Punjab,Theft & Cash Loss,61400,14838,255754,76238
PE24169999,2/23/2015,2/19/2015,Vandalism,Jamabandi,DEF0001582,Non Guarded,Punjab,Attempted Theft,16270,0,25555,16270
M31I3178991,2/23/2015,2/19/2015,Vandalism,Mehta Road,DEF0001582,Non Guarded,Punjab,Attempted Theft,53860,0,255752,53860
DZEK99999999783996,2/27/2015,2/19/2015,Vandalism & Theft,"Palashbari, Assam",DEF0001582,Non Guarded,Assam,Theft & Cash Loss,97540,15241,256224,112781
DZEP9999997329936,2/28/2015,2/22/2015,Vandalism,Opp Verka Plant,DEF0001582,Non Guarded,Punjab,Attempted Theft,46620,0,25652,46620
NI1942991XX,2/28/2015,2/22/2015,Vandalism,Mandi Gobindgarh,DEF0001582,Non Guarded,Punjab,Attempted Theft,70620,0,25658,70620
JLU899997,2/28/2015,2/25/2015,Vandalism,"Kohli Tractor Rajpura, Patiala",DEF0001582,Non Guarded,Punjab,Attempted Theft,97530,0,257552,97530
O2239979999,2/28/2015,2/27/2015,Vandalism & Theft,Nawanshahr,DEF0001582,Non Guarded,Punjab,Theft & Cash Loss,95510,5392,257556,100902
221922991,1/11/2016,1/4/2016,Vandalism,Adampur,DEF0001382,Non Guarded,Punjab,Attempted Theft,198350,85,59285,198435
WE99Z438U,1/11/2016,1/1/2016,Vandalism,UTTAR DINAJPUR,DEF0001382,Non Guarded,West Bengal,Attempted Theft,59390,0,592597,59390
P131449999,1/11/2016,1/4/2016,Vandalism,NOWGAM MARKET,DEF0001382,Non Guarded,Jammu & Kashmir,Attempted Theft,70430,0,592597,70430
NSIL99271,1/11/2016,1/6/2016,Vandalism,"CHURCHPALLY, RATHBARI",DEF0001382,Non Guarded,West Bengal,Attempted Theft,282950,0,592937,282950
DZEK9999991839914,1/13/2016,1/8/2016,Vandalism,Silchar Aizwal Road,DEF0001382,Non Guarded,Assam,Attempted Theft,33330,0,596559,33330
XXGZ99934,1/19/2016,1/13/2016,Vandalism,"LPS COMPLEX, SECTOR 12 , GMP",DEF0001383,Guarded,Uttar Pradesh,Attempted Theft,282950,0,596875,282950
DJUL699411111111,1/25/2016,1/16/2016,Vandalism & Theft,UBI KAPURTHALA ROAD ,DEF0001382,Non Guarded,Punjab,Theft & Cash Loss,312500,11911,598225,324411
DZEO9999459699997,1/25/2016,1/21/2016,Vandalism,Chinar Galli near Gudhali Chowk,DEF0001382,Non Guarded,Punjab,Attempted Theft,164000,0,598239,164000
CEXX899992,1/25/2016,1/21/2016,Vandalism,"SHYAM SHARAD COMPLEX, OPP. BUS STAND, HALOL, ",DEF0001382,Non Guarded,Gujarat,Attempted Theft,72910,0,598236,72910
I14NC16999991,1/25/2016,1/21/2016,Vandalism,OBC MAAN SINGH NAGAR ,DEF0001382,Non Guarded,Punjab,Attempted Theft,46750,0,598235,46750
DZEK999999998399399,2/2/2016,1/22/2016,Vandalism,KANAIGHAT,DEF0001382,Non Guarded,Assam,Attempted Theft,282950,0,55822,282950
I14DC18999991,2/2/2016,1/26/2016,Vandalism,KAPURTHALA ROAD,DEF0001382,Non Guarded,Punjab,Attempted Theft,50000,0,55825,50000
DZEK999915399949,2/2/2016,1/21/2016,Vandalism,LOWER CHANMARI AIZAWL,DEF0001382,Non Guarded,Mizoram,Attempted Theft,208330,0,55826,208330
DZEK99999999879926,2/8/2016,1/31/2016,Vandalism,VILL-PURBAKITTER BOND-2,DEF0001382,Non Guarded,Assam,Attempted Theft,282950,0,977525,282950
XXCO899992,2/9/2016,2/2/2016,Vandalism,Mulanthuruthy,DEF0001383,Guarded,Kerala,Attempted Theft,67700,0,977533,67700
XXS13561U,2/10/2016,1/29/2016,Vandalism,"KULSI BRANCH, P.S- PALSHBARI, P.O-MONIARI TINIALI, DIST KAMRUP, PIN-781125",DEF0001382,Non Guarded,Assam,Attempted Theft,228680,0,977336,228680
XXID1968XX,2/16/2016,2/13/2016,Vandalism & Theft,RBAN STATE PHASE-2 JALANDHAR,DEF0001382,Non Guarded,Punjab,Theft & Cash Loss,312500,8369,972289,320869
DZEO999968979912,2/16/2016,2/9/2016,Vandalism ,RIJU CHAK RAILWAY ROAD,DEF0001382,Non Guarded,Jammu & Kashmir,Attempted Theft,63930,0,972292,63930
NMUM2611,2/18/2016,2/16/2016,Vandalism,BHIWANDI,DEF0001382,Non Guarded,Maharashtra,Attempted Theft,90600,0,972837,90600
IPSEN999926991,2/22/2016,2/10/2016,Vandalism, AJITWAL ,DEF0001382,Non Guarded,Punjab,Attempted Theft,297270,0,973393,297270
DZEK99999999729926,2/22/2016,2/16/2016,Vandalism,Dimapur,DEF0001382,Non Guarded,Nagaland,Attempted Theft,25520,0,973258,25520
DZEK99999999929942,2/22/2016,2/13/2016,Vandalism,KHUYATHONG ROAD,DEF0001382,Non Guarded,Manipur,Attempted Theft,72910,0,973586,72910
NGUW69971,2/22/2016,2/16/2016,Vandalism,KAMAR PUKUR PAR,DEF0001382,Non Guarded,Tripura,Attempted Theft,221650,0,973578,221650
KEL99799992,2/23/2016,2/22/2016,Fire accident,Haliyal Road Dharwad,DEF0001383,Guarded,Karnataka,Fire Loss,239270,0,973775,239270
DEEK999959229972,2/23/2016,2/21/2016,Vandalism,SONAI ROAD 2ND LINK ROAD JUNCATION,DEF0001382,Non Guarded,Assam,Attempted Theft,69320,0,972772,69320
CLU899199,2/29/2016,2/6/2016,Vandalism,Muktsar,DEF0001383,Guarded,Punjab,Attempted Theft,51950,0,972659,51950
DEEP999947339954,3/2/2016,2/26/2016,Vandalism,TEJ ENCLAVE,DEF0001382,Non Guarded,Punjab,Attempted Theft,174270,0,975792,174270
KEL1T9924,3/2/2016,2/28/2016,Fire accident,"Kote, Kunigal",DEF0001383,Guarded,Karnataka,Fire Loss,81380,0,975368,81380
DZEP5999938499993,3/4/2016,3/1/2016,Vandalism & Theft,Muktsar,DEF0001382,Non Guarded,Punjab,Theft & Cash Loss,282950,5792,975376,288742
DZEK9999399399297,3/4/2016,2/27/2016,Vandalism,JITEN DEKA BUILDING,DEF0001382,Non Guarded,Assam,Attempted Theft,159980,0,975266,159980
DZEO9999997229945,3/10/2016,3/4/2016,Vandalism,Badgam,DEF0001382,Non Guarded,Jammu & Kashmir,Attempted Theft,121070,0,976623,121070
WE99Z99999U,3/10/2016,3/6/2016,Vandalism,ALU CHOWDHURY MORE,DEF0001382,Non Guarded,West Bengal,Attempted Theft,154400,0,976622,154400
IPSEN199399991,3/15/2016,3/10/2016,Vandalism,Bathinda,DEF0001383,Guarded,Punjab,Attempted Theft,162460,0,977655,162460
XXKXX99912,3/18/2016,3/16/2016,Fire accident,HAIDRABAD,DEF0001383,Guarded,Uttar Pradesh,Fire Loss,282950,0,978356,282950
CEE89921,3/21/2016,3/18/2016,Vandalism,KENDUPALI,DEF0001383,Guarded,Odisha,Attempted Theft,416660,0,978579,416660
DZEO9999245199995,3/22/2016,3/21/2016,Vandalism,Shopian,DEF0001382,Non Guarded,Jammu & Kashmir,Attempted Theft,224250,62,978873,224312
DZEO9999997229916,3/28/2016,3/22/2016,Vandalism,Natipora Market Near Masjid,DEF0001382,Non Guarded,Jammu & Kashmir,Attempted Theft,54580,0,979827,54580
DZEO9999997229952,3/28/2016,3/23/2016,Vandalism,Srinagar,DEF0001382,Non Guarded,Jammu & Kashmir,Attempted Theft,117470,0,979825,117470
WCHN19961,3/28/2016,3/24/2016,Vandalism,MANAPAKKAM,DEF0001382,Non Guarded,Tamil Nadu,Attempted Theft,49770,0,979827,49770
XXEXX999992,3/28/2016,3/16/2016,Vandalism,Vadodara Main,DEF0001383,Guarded,Gujarat,Attempted Theft,166150,0,979855,166150
DZEO9999997229987,3/29/2016,3/22/2016,Vandalism,NAIK BAGH ,DEF0001382,Non Guarded,Jammu & Kashmir,Attempted Theft,78240,0,97577,78240
DZEO999914789918,3/30/2016,3/15/2016,Vandalism,Srinagar,DEF0001383,Guarded,Jammu & Kashmir,Attempted Theft,111570,0,925232,111570
WE99Z1994U,4/5/2016,3/30/2016,Vandalism,GAIGHATA,DEF0001382,Non Guarded,West Bengal,Attempted Theft,129360,0,927228,129360
NLUD61211111111,4/8/2016,4/1/2016,Vandalism,badshah Pur,DEF0001382,Non Guarded,Haryana,Attempted Theft,206280,0,927723,206280
DEEO999914789929,4/8/2016,4/3/2016,Vandalism,Pulwama,DEF0001382,Non Guarded,Jammu & Kashmir,Attempted Theft,158070,0,927727,158070
DZNK9999991811993,4/8/2016,4/3/2016,Vandalism,SHILLONG,DEF0001382,Non Guarded,Meghalaya,Attempted Theft,149780,0,927687,149780
DZEK999999997299699,4/8/2016,3/20/2016,Vandalism,NAGALAND,DEF0001382,Non Guarded,Nagaland,Attempted Theft,82690,0,927759,82690
IPSEN999959991,4/12/2016,4/7/2016,Vandalism,SANGRUR,635003984,Guarded,Punjab,Attempted Theft,210940,0,922282,210940
DZNK9999999999299799,4/13/2016,4/3/2016,Vandalism,Tripura,DEF0001382,Non Guarded,Tripura,Attempted Theft,175380,0,922526,175380
DZEK9999991459929,4/14/2016,4/8/2016,Vandalism,NARAYANPUR,DEF0001382,Non Guarded,Assam,Attempted Theft,51940,0,922872,51940
NI1384991,4/14/2016,4/8/2016,Vandalism,GAURISAGAR,DEF0001382,Non Guarded,Assam,Attempted Theft,131530,0,922863,131530
DENK99992994899996,4/14/2016,4/9/2016,Vandalism,GOLAGATH,DEF0001382,Non Guarded,Assam,Attempted Theft,24470,0,922868,24470
DZNK99999919949925,4/14/2016,4/9/2016,Vandalism,JORHAT,DEF0001382,Non Guarded,Assam,Attempted Theft,144600,0,922897,144600
NSRT99541,4/20/2016,4/15/2016,Vandalism,SURAT,DEF0001382,Non Guarded,Gujarat,Attempted Theft,171170,0,923765,171170
DZEO9999997229972,4/20/2016,4/17/2016,Vandalism & Theft,Srinagar,DEF0001382,Non Guarded,Jammu & Kashmir,Theft & Cash Loss,85880,452,923757,86332
DZEO9999997229961,4/20/2016,4/9/2016,Vandalism,BUDGAM,DEF0001382,Non Guarded,Jammu & Kashmir,Attempted Theft,82410,0,923777,82410
DZEO9999997229943,4/20/2016,4/14/2016,Vandalism,Srinagar,DEF0001383,Guarded,Jammu & Kashmir,Attempted Theft,87730,0,923763,87730
DZEO9999997229942,4/20/2016,4/14/2016,Vandalism,Srinagar,DEF0001383,Guarded,Jammu & Kashmir,Attempted Theft,87730,0,923762,87730
CNS999992,4/20/2016,4/10/2016,Vandalism,CHANDRAPUR,DEF0001383,Guarded,Maharashtra,Attempted Theft,128030,0,923772,128030
XXS998481U,4/20/2016,4/18/2016,Vandalism,ASSAM,DEF0001382,Non Guarded,Assam,Attempted Theft,138190,0,923723,138190
XXKK999991,4/20/2016,4/19/2016,Vandalism,Karimnagar,DEF0001383,Guarded,Telangana,Attempted Theft,135100,0,923737,135100
M31I3795992,4/20/2016,4/12/2016,Vandalism,JAMMU,DEF0001382,Non Guarded,Jammu & Kashmir,Attempted Theft,23950,0,923775,23950
NGUW99461,4/21/2016,4/19/2016,Vandalism,Guwahati,DEF0001382,Non Guarded,Assam,Attempted Theft,416660,0,923925,416660
DZEK9999991969985,4/21/2016,4/9/2016,Vandalism,TINSUKIA,DEF0001383,Guarded,Assam,Attempted Theft,67700,0,923727,67700
XXMR999991,4/22/2016,4/17/2016,Vandalism,MEHSANA,DEF0001383,Guarded,Gujarat,Attempted Theft,87260,0,922757,87260
DZEK999959229971,5/3/2016,4/19/2016,Vandalism,ASSAM,DEF0001382,Non Guarded,Assam,Attempted Theft,282950,0,926772,282950
DZEK9999361399993,5/6/2016,4/20/2016,Vandalism,WOKHA,DEF0001382,Non Guarded,Nagaland,Attempted Theft,93750,0,927637,93750
DZEO99999972299399,5/9/2016,4/23/2016,Vandalism,RAWALPORA CHOWCK SRINAGAR ,DEF0001383,Guarded,Jammu & Kashmir,Attempted Theft,93750,340,928758,94090
DZEK999976489923,5/9/2016,4/15/2016,Vandalism,SIRGOURI KALIBARI,DEF0001382,Non Guarded,Assam,Attempted Theft,282950,0,928767,282950
CGW89957,5/9/2016,4/24/2016,Vandalism,Silchar,DEF0001383,Guarded,Assam,Attempted Theft,104160,0,928765,104160
DZEK9999991459921,5/9/2016,4/29/2016,Vandalism,Lakhimpur,DEF0001382,Non Guarded,Assam,Attempted Theft,184720,0,928763,184720
NHYD1251,5/9/2016,5/4/2016,Vandalism,Hyderabad,DEF0001382,Non Guarded,Andhra Pradesh,Attempted Theft,40360,0,928762,40360
DZNK99999919949937,5/12/2016,4/30/2016,Vandalism & Theft,JORHAT,DEF0001382,Non Guarded,Assam,Theft & Cash Loss,282950,12742,928863,295692
DEEK99999919949984,5/12/2016,4/30/2016,Vandalism,Assam,DEF0001382,Non Guarded,Assam,Attempted Theft,61710,0,928865,61710
KEL18275,5/13/2016,5/3/2016,Vandalism,AUSTIN TOWN,DEF0001383,Guarded,Karnataka,Attempted Theft,76880,0,929798,76880
DZNK999999999929961,5/14/2016,4/22/2016,Vandalism,Tripura,DEF0001382,Non Guarded,Tripura,Attempted Theft,118720,0,929352,118720
DZEO9999997229985,5/14/2016,5/5/2016,Vandalism & Theft, SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Theft & Cash Loss,85230,605,929356,85835
DZEK99999999699933,5/14/2016,5/3/2016,Vandalism,DHUBRI,DEF0001382,Non Guarded,Assam,Attempted Theft,76580,0,929358,76580
DZEO999968979917,5/14/2016,5/6/2016,Vandalism,J&K,DEF0001382,Non Guarded,Jammu & Kashmir,Attempted Theft,111410,0,929372,111410
DZEK9999991469944,5/14/2016,5/9/2016,Vandalism,ASSAM,DEF0001382,Non Guarded,Assam,Attempted Theft,85830,0,929373,85830
DEEK9999991811199,5/26/2016,5/20/2016,Vandalism,MEGHALAYA,DEF0001382,Non Guarded,Meghalaya,Attempted Theft,56510,0,937588,56510
DZEK9999299659916,5/27/2016,5/10/2016,Vandalism,ASSAM,DEF0001382,Non Guarded,Assam,Attempted Theft,208330,0,93785,208330
XXDL19911U,6/2/2016,5/31/2016,Fire accident,Delhi,DEF0001382,Non Guarded,New Delhi,Fire Loss,208330,0,933523,208330
DZEK9999361399994,6/10/2016,5/9/2016,Vandalism,NAGALAND,DEF0001382,Non Guarded,Nagaland,Attempted Theft,72910,0,932657,72910
DZEK999999181116,6/10/2016,5/27/2016,Vandalism,MEGHALAYA,DEF0001382,Non Guarded,Meghalaya,Attempted Theft,282950,0,932659,282950
NJUL61211111111,6/10/2016,6/5/2016,Vandalism,Taran,DEF0001382,Non Guarded,Punjab,Attempted Theft,83080,0,932267,83080
DZEP999999699999998,6/14/2016,5/15/2016,Vandalism,Nawanshahar,DEF0001382,Non Guarded,Punjab,Attempted Theft,282950,0,935772,282950
P3116999999,6/14/2016,6/6/2016,Vandalism,AMRITSAR,DEF0001382,Non Guarded,Punjab,Attempted Theft,99340,0,935777,99340
DZEO9999997229922,6/16/2016,6/10/2016,Vandalism,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Attempted Theft,71870,0,935722,71870
CMN99911,6/16/2016,6/11/2016,Vandalism,Andheri,DEF0001383,Guarded,Maharashtra,Attempted Theft,62280,0,935728,62280
XXXXL99949,6/16/2016,6/10/2016,Vandalism,UP,DEF0001383,Guarded,Uttar Pradesh,Attempted Theft,282950,0,935755,282950
IPSEN99468991,6/24/2016,6/17/2016,Vandalism, AMRITSAR,DEF0001382,Non Guarded,Punjab,Attempted Theft,91110,0,937277,91110
P175159999,6/30/2016,6/23/2016,Vandalism & Theft, AMRITSAR,DEF0001382,Non Guarded,Punjab,Theft & Cash Loss,282290,11275,938857,293565
DZEK999916849944,7/1/2016,6/24/2016,Vandalism, BONGAIGAON,DEF0001382,Non Guarded,Assam,Attempted Theft,153520,0,935973,153520
NHYD15991,7/7/2016,6/19/2016,Vandalism, HYDERABAD,DEF0001382,Non Guarded,Andhra Pradesh,Attempted Theft,100730,0,925276,100730
DZEK999999181117,7/11/2016,7/1/2016,Vandalism,MEGHALAYA,DEF0001382,Non Guarded,Meghalaya,Attempted Theft,156250,0,7,156250
DZEK999938359913,7/12/2016,6/17/2016,Vandalism,ASSAM,DEF0001382,Non Guarded,Assam,Attempted Theft,142780,0,927555,142780
NLUD63211111111,7/12/2016,6/17/2016,Vandalism,Sangrur,DEF0001382,Non Guarded,Punjab,Attempted Theft,181850,0,927652,181850
DZEO9999997229987,7/12/2016,7/2/2016,Vandalism,Srinagar,DEF0001382,Non Guarded,Jammu & Kashmir,Attempted Theft,116380,0,927659,116380
DEEK999916849924,7/12/2016,6/21/2016,Vandalism,BTAD,DEF0001382,Non Guarded,Assam,Attempted Theft,142650,0,927673,142650
DZEO9999997229911,7/12/2016,7/6/2016,Vandalism,SRINAGAR,DEF0001382,Non Guarded,Jammu & Kashmir,Attempted Theft,136290,228,927676,136518
DZNO9999689699994,7/14/2016,7/8/2016,Vandalism,JAMMU ,DEF0001382,Non Guarded,Jammu & Kashmir,Attempted Theft,125000,0,922529,125000
CGXX999994,7/28/2016,7/6/2016,Vandalism,SALAL,DEF0001383,Guarded,Gujarat,Attempted Theft,184060,0,923533,184060
XXKD99916,7/28/2016,7/6/2016,Vandalism,KHARAGPUR,DEF0001383,Guarded,West Bengal,Attempted Theft,104160,0,922792,104160
OR99Z3299U,8/3/2016,7/26/2016,Vandalism,Sasan,DEF0001382,Non Guarded,Odisha,Attempted Theft,49560,0,925796,49560
